Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
90:10,8.004723501642923,2.2999999999998693,10.968546980725632,0.609701901202664,4,275.1666666667182,189.22667700277137,-20.62803075727555,189.66692188553685,-20.25840425530735,-40.66669275281114,-40.66669275281114,9,0,0
80:20,5.359320685512101,2.80000000000058,5.246516784534221,0.6365096830655619,2,542.3000000000891,180.44839023490556,-22.415816146741783,31.49729167624145,-17.943485790463765,-40.9489594698352,-40.9489594698352,5,0,0
70:30,4.8338927827781335,4.299999999999756,6.631454612113099,1.2499293766502813,23,73.74545454542758,182.3792177427375,-25.2439041063788,177.7398557733015,-24.5213287428954,-42.45916675085535,-42.45916675085535,23,0,0
60:40,5.100826296784865,3.2999999999998124,7.308404513277541,1.2460534893703734,31,55.34999999997934,188.012364740419,-27.17182970368694,186.86052374555933,-26.628782001558733,-44.04313676282847,-44.04313676282847,31,0,0
50:50,4.620579958339837,2.899999999999835,7.737833978273608,1.220997476197859,35,48.08529411762963,190.19384595639156,-28.864581571331893,188.6520355000151,-28.36814451551016,-45.29649597007935,-45.29649597007935,35,0,0
40:60,4.149221833823425,2.6999999999998465,7.672179683993269,1.2127655932793444,39,43.96315789472046,188.3195459174498,-30.120431051304827,186.61738086768764,-29.871220085532887,-46.19185237004282,-46.19185237004282,39,0,0
30:70,4.162847176598435,2.6999999999998465,7.643510014043255,1.2102299536623582,41,41.46999999998475,183.9291069061016,-31.619074325263195,182.1278012815224,-31.62798297694573,-46.8762246663977,-46.8762246663977,41,0,0
20:80,4.973419765827628,2.799999999999841,9.293728588489534,1.1745536998182189,43,39.79761904760428,178.38586805159125,-33.49218933551554,153.80955231686443,-11.136648933698943,-47.42797383105521,-47.42797383105521,43,0,0
10:90,6.40651766801411,2.799999999999841,10.656521074728872,1.1582189206529103,44,38.77906976742754,173.48537502589707,-34.83023764040298,166.94477778300865,-9.525321478081564,-47.88813469786382,-47.88813469786382,44,0,0
0:100,8.50481691725812,3.099999999999824,12.855939332728294,1.1272800632184872,44,38.25348837207921,170.10330554911377,-36.52022361501452,185.3896980689143,-7.34069681468701,-48.28682233068023,-48.28682233068023,44,0,0