,Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,dvdt Peak2 Shoulder Before,dvdt Peak2 Shoulder Before Voltage,dvdt Peak2 Shoulder After,dvdt Threshold_DEBUG,ais spikecount,nex spikecount,disdend spikecount
0,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/WT,31.219295596694092,0.0,33.53946959851159,1.0464297976056134,9,52.562500000007226,487.4510275767173,6.920942366006561,484.7476663006879,6.365159794905044,-47.65407699785399,297.34877763045233,-25.466575356256957,484.48289088911844,-47.65407699785399,9,0,0
1,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut1_2,29.553088507456113,0.0,30.384082175999538,2.373720348955671,9,53.2875000000074,432.5899945470553,5.6341533242114865,429.6978139603316,4.647948721544738,-47.458489067021226,272.6148202193048,-24.29378299603061,429.4816230976442,-47.458489067021226,9,0,0
2,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut1_3,35.13840228763011,0.0,35.50319358599754,2.2527633523447492,9,53.82500000000751,685.2128785596636,8.575240888251534,680.6354495602296,7.280016615552077,-47.669358881996054,381.97584191298046,-24.75798357783929,54.806276273937016,-47.669358881996054,9,0,0
3,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut1_4,30.903461434190156,0.0,31.889458018291606,1.7874220419475777,10,52.57777777778554,484.44677143917056,6.996918115951285,482.5369546562535,6.8957806137856945,-47.48650085229369,296.89232738542194,-22.954265324418238,54.64126001798917,-47.48650085229369,10,0,0
4,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut2_1,29.529946529906834,0.0,30.08307832637802,0.9636654735539529,10,51.85555555556315,502.8976142166894,5.921670714215071,500.79967849946826,5.605577223778821,-47.41421675388785,304.9533755958425,-25.266922564032622,52.90881794574318,-47.41421675388785,10,0,0
5,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut2_2,30.590102438330085,0.0,32.538522074455,1.0621313602498195,10,51.21111111111856,502.73144929714533,7.500300401228394,500.73843236138185,7.386805892796147,-47.50391501472556,309.02862714658283,-24.0958777261468,51.29637807340259,-47.50391501472556,10,0,0
6,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut2_3,30.590102438330085,0.0,32.538522074455,1.0621313602498195,10,51.21111111111856,502.73144929714533,7.500300401228394,500.73843236138185,7.386805892796147,-47.50391501472556,309.02862714658283,-24.0958777261468,51.29637807340259,-47.50391501472556,10,0,0
7,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut2_4,30.354798165684624,0.0,32.15549377271415,1.410971270528219,9,55.52500000000791,399.8224704890086,4.812851243065733,397.56839116475334,5.100061188144349,-47.5093218705396,396.76028268864246,3.1099379274094785,397.6909261857787,-47.5093218705396,9,0,0
8,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut3_1,30.029602460942073,0.0,31.129986823850377,1.9115254699078885,10,51.98888888889652,483.60338551529765,7.153987368902869,481.08602237582187,6.522405999839481,-47.45538252285398,296.8013577172705,-23.110932070886907,480.3925634273485,-47.45538252285398,10,0,0
9,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut3_2,30.199622436685182,0.0,30.508270057095633,7.746947748026304,10,52.411111111118835,498.0941855653206,7.83035613161403,495.9276963426886,7.8983168857551185,-47.42234775072809,305.33519375449,-22.93785443855642,495.2192787415921,-47.42234775072809,10,0,0
10,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut3_3,33.26775273831315,0.0,35.08263354596654,1.6836625089761281,9,58.60000000000849,454.64361661873846,7.101972914647639,453.4067827711003,7.299888187204067,-48.98161145233285,452.98302107172316,5.0275070956069134,451.6841886638436,-48.98161145233285,9,0,0
11,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut3_4,28.24237007321531,0.0,37.185443569194724,0.8048331573516553,7,79.1000000000111,587.4852281316423,10.229032306851254,234.34134948182822,-19.137955225179958,-54.640610337661116,232.87034094471366,-20.308359826146333,234.21646217997605,-54.640610337661116,19,0,0
12,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut4_1,26.65053442658066,0.0,28.42149298818469,2.3457316178567407,9,53.32500000000741,380.46310504881535,3.7965312714603234,378.15435270003314,3.1129104166487576,-47.49414614484413,244.86253044133653,-25.65644275653185,377.75652317211274,-47.49414614484413,9,0,0
13,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut4_2,28.331972812744272,0.0,29.883943431040006,1.7997510998563,9,52.962500000007324,422.43171650124617,4.716008142551502,419.7640070413799,6.1422647333913485,-47.462185338133374,419.31028412073505,4.03878957211894,54.224803638848584,-47.462185338133374,9,0,0
14,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut4_3,35.708846682008165,0.0,36.63770349544144,1.8133971597222283,8,62.000000000008704,461.5828693936727,8.671737676859223,461.1902502029757,7.992558734419399,-47.47943803507843,459.17458063223063,5.685582708135268,458.1703626429684,-47.47943803507843,8,0,0
15,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut4_4,37.40053423764311,0.0,38.24534935115401,1.2280909781991003,9,57.81250000000843,557.9782261114241,10.851407250863465,556.3288062682502,11.658657606770337,-47.573658936161564,320.18983382741055,-24.457389249120165,54.334229893092356,-47.573658936161564,9,0,0
16,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut5_1,31.070246589240007,0.0,34.16691404793071,1.0937002387402377,10,52.277777777785474,489.88740210185676,7.537562746465154,488.02369941366413,6.678806581631724,-47.49502589890413,301.3723338226203,-23.59479749669594,55.40323868410155,-47.49502589890413,10,0,0
17,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut5_2,31.477694228696212,0.0,31.69209115409405,1.0251003769684464,9,52.53750000000723,477.83680477361054,8.383320632542572,475.27684204131504,8.337644195131443,-47.515426833436614,475.1022977411605,5.953585458402478,476.23739951861813,-47.515426833436614,9,0,0
18,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut5_3,30.975797104803753,0.0,32.332509331853764,1.000824101240628,10,52.74444444445224,493.15935684165987,7.6793263769979685,490.9195825489751,6.541241119685454,-47.47578294244079,301.8180770701498,-23.859437829886055,489.7004710963532,-47.47578294244079,10,0,0
19,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut5_4,31.010772560903384,0.0,32.66077570814333,1.1022566268016205,9,53.975000000007554,456.51820958991897,6.68574986274623,454.2455294087679,6.759849004893287,-47.53208813175718,280.6940242775219,-25.26179574887231,55.16536236734524,-47.53208813175718,9,0,0
20,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut10_1,28.41265840751393,0.0,29.973278458781003,0.951524956974823,10,51.36666666667415,500.9636950820372,4.2630372593489945,499.56645972413327,5.308271013663465,-47.40736350791604,307.7739236060658,-25.235681805543106,55.639338789244164,-47.40736350791604,10,0,0
21,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut10_2,31.751633099008387,0.0,34.30888744546042,3.1386529834805095,8,61.14285714286565,424.9251066085478,6.06019200050813,424.1960687161572,6.503464899751526,-47.4491619389403,423.402730294121,4.379209638417051,420.65061979398024,-47.4491619389403,8,0,0
22,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut10_3,32.95334844938256,0.0,34.90581917543485,2.8248249407698154,9,58.71250000000861,454.3940178789151,5.715000988444781,452.19045545988007,5.326920662630979,-47.829575308865934,274.6054146864523,-26.253847703746473,451.5558684434378,-47.829575308865934,9,0,0
23,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut10_4,31.628496674161696,0.0,32.262844757740204,3.8224164429418583,8,60.11428571429399,415.3102825036374,4.760082185834069,413.98404269205514,4.1423372060887775,-47.56049250254407,259.1482078440233,-25.30375280721402,413.9717739076099,-47.56049250254407,8,0,0
24,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut11_1,30.36656922056185,0.0,31.358379419238307,2.29268084828287,10,52.933333333341174,477.5640563030327,6.8312308973379,475.7349710534028,6.983976140075969,-47.45852218597169,292.571980606899,-24.406392843127037,53.79383647332574,-47.45852218597169,10,0,0
25,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut11_2,31.05347467694566,0.0,31.066921016886845,1.0148984130781513,9,53.38750000000742,480.5916592798331,6.18729080508089,478.69665309192163,7.95475482953934,-47.4646703593307,295.88043042910675,-23.939773451060933,55.44315657696757,-47.4646703593307,9,0,0
26,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut11_3,27.879183633611497,0.0,29.927308480932727,0.9532666020424194,10,52.24444444445213,447.53552551172186,4.49386591809683,446.0840587848207,5.479122951638512,-47.39987378181915,284.5012748580814,-24.452145050481512,444.3060744784751,-47.39987378181915,10,0,0
27,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut12_1,32.249057448976764,0.0,33.301750679618415,1.263680695979019,9,57.412500000008336,449.2665033561237,6.980330228535118,447.37617951534617,6.974663044829064,-47.50860593925948,277.1307361345503,-24.838813586504962,50.37920707217083,-47.50860593925948,9,0,0
28,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut12_2,31.765615576222324,0.0,31.897284249822945,1.1273597596985947,9,54.862500000007756,464.49894886282584,6.427371552171534,461.96505293375037,6.160072484546979,-47.51271755393396,285.96270883430816,-24.495731372719536,56.01805966892499,-47.51271755393396,9,0,0
29,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut12_3,30.67449735639073,0.0,32.69259730400227,0.9444441628217652,10,51.51111111111863,505.4497088553287,7.241909578432187,503.2834211150984,6.941071635644884,-47.46216223136047,308.66073247393155,-24.042896947723815,52.483558164885125,-47.46216223136047,10,0,0
30,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut12_4,31.720668786444442,0.0,33.38623240064167,0.992511530994445,10,52.30000000000769,495.6456935463073,7.680469573719945,493.5890053089509,7.896590327974025,-47.55458150221936,302.85824794070174,-24.800328918653527,491.62323550727507,-47.55458150221936,10,0,0
31,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut13_1,23.169755268859824,0.0,27.173139406585992,0.7208541912960246,8,58.72857142857936,209.307657933695,-15.950303112871156,190.28248901200584,-15.761792467011887,-38.16802890557164,188.74073127244733,-16.71158582405429,190.12628181627792,-38.16802890557164,12,0,0
32,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut13_2,28.973138264770387,0.0,31.054575476075094,1.0089428271903411,10,50.644444444451764,535.5861809158798,5.0467530045348745,532.0654351206707,3.626439153708845,-47.45423554582215,327.8117047889644,-24.643942946666417,531.995126817437,-47.45423554582215,10,0,0
33,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut13_3,30.350029035004354,0.0,31.83635045245467,1.2826206499537438,9,55.975000000008,420.23063815661504,5.553069773178208,418.62675531818513,4.341315132464659,-47.68522377921748,261.7071633987845,-25.453972808433104,56.201934558757216,-47.68522377921748,9,0,0
34,./Plots/12HH16HH//23-PaperPlots/4-SynthMuts_efel_052825/mut13_4,23.59921712023177,0.0,25.121124913218196,2.1153992937360395,9,56.775000000008184,350.6738607562682,2.3470526727873002,348.71735104336227,2.0034026342528426,-47.459035353061466,231.20222336716373,-26.100273067997367,349.1722008603776,-47.459035353061466,9,0,0
